Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20
Anhui,Mainland China,31.8257,117.2264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beijing,Mainland China,40.1824,116.4142,-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chongqing,Mainland China,30.0572,107.874,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fujian,Mainland China,26.0789,117.9874,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gansu,Mainland China,36.0611,103.8343,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guangdong,Mainland China,23.3417,113.4244,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guangxi,Mainland China,23.8298,108.7881,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guizhou,Mainland China,26.8154,106.8748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hainan,Mainland China,19.1959,109.7453,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hebei,Mainland China,38.0428,114.5149,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heilongjiang,Mainland China,47.861999999999995,127.7615,-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Henan,Mainland China,33.882020000000004,113.61399999999999,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,3
Hubei,Mainland China,30.9756,112.2707,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,4,5,5,5,5,5,5,5,5,5,5,5,5,6,6
Hunan,Mainland China,27.6104,111.7088,1,1,1,1,1,1,1,0,0,1,1,1,2,3,3,3,1,1,2,3,4,5,5,5,5,5,5,5,4,4,4,5,6,7,8,8,8,8,7,8,8,8,8,8,8,9,9
Inner Mongolia,Mainland China,44.0935,113.9448,-22,-22,-21,-21,-20,-18,-18,-18,-17,-17,-17,-18,-18,-18,-18,-20,-21,-18,-18,-18,-18,-18,-18,-18,-20,-19,-18,-17,-16,-15,-14,-14,-14,-14,-14,-14,-14,-15,-14,-14,-13,-13,-13,-12,-12,-11,-11
Jiangsu,Mainland China,32.9711,119.455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4
Jiangxi,Mainland China,27.614,115.7221,3,3,3,3,3,3,3,2,2,2,2,3,3,5,5,5,5,4,4,4,5,5,6,6,7,7,7,7,5,5,5,5,8,9,9,9,9,9,9,10,10,10,10,10,10,11,11
Jilin,Mainland China,43.6661,126.1923,-17,-17,-20,-20,-20,-19,-17,-17,-17,-17,-17,-17,-18,-19,-21,-21,-21,-21,-21,-21,-21,-21,-21,-18,-18,-17,-17,-16,-15,-15,-15,-14,-12,-12,-11,-12,-12,-12,-12,-11,-11,-11,-11,-11,-10,-10,-10
Liaoning,Mainland China,41.2956,122.6085,-14,-14,-16,-16,-16,-15,-14,-13,-13,-13,-13,-14,-14,-15,-15,-16,-16,-15,-15,-14,-14,-14,-14,-14,-12,-12,-12,-11,-10,-9,-9,-9,-8,-6,-6,-8,-9,-9,-8,-7,-7,-6,-6,-6,-6,-6,-5
Ningxia,Mainland China,37.2692,106.1655,-11,-11,-11,-11,-11,-11,-10,-11,-12,-12,-11,-11,-11,-11,-11,-10,-10,-10,-13,-13,-13,-13,-13,-13,-13,-14,-14,-14,-14,-14,-14,-14,-14,-13,-14,-14,-13,-13,-12,-12,-12,-12,-12,-12,-11,-11,-8
Qinghai,Mainland China,35.7452,95.9956,-25,-25,-26,-26,-26,-26,-26,-27,-27,-27,-27,-28,-29,-29,-29,-29,-29,-28,-27,-27,-28,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-26,-26,-26,-25,-25,-25,-25,-25,-23,-22,-22,-22,-22,-22,-20,-20
Shaanxi,Mainland China,35.1917,108.8701,-7,-7,-7,-7,-7,-6,-7,-6,-7,-7,-7,-7,-7,-6,-6,-6,-6,-6,-6,-8,-8,-6,-6,-6,-6,-6,-6,-6,-9,-9,-10,-10,-10,-9,-8,-8,-8,-8,-5,-5,-3,-3,-3,-3,-1,-1,0
Shandong,Mainland China,36.3427,118.1498,-8,-7,-7,-7,-7,-7,-8,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-6,-6,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-4,-4,-4,-4,-4,-3,-3,-2
Shanghai,Mainland China,31.201999999999998,121.4491,1,1,1,1,1,4,4,4,4,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,3,3,3,4,6,6,4,4,4,4,4,4,4,4,3,3,6
Shanxi,Mainland China,37.5777,112.2922,-9,-9,-9,-9,-9,-8,-8,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-9,-9,-9,-9,-10,-10,-10,-10,-11,-11,-12,-13,-13,-13,-13,-13,-13,-13,-8,-8,-7,-7,-7,-6,-5,-5,-4
Sichuan,Mainland China,30.6171,102.7103,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-7,-7,-7,-6,-6,-5,-5,-4,-4,-4,-4,-4,-3,-2
Tianjin,Mainland China,39.3054,117.323,-11,-11,-11,-11,-10,-9,-9,-7,-7,-7,-7,-7,-7,-7,-7,-8,-8,-8,-8,-8,-8,-8,-8,-7,-7,-7,-8,-7,-6,-5,-4,-4,-4,-3,-3,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
Tibet,Mainland China,31.6927,88.0924,-20,-21,-21,-21,-21,-21,-21,-22,-23,-23,-23,-24,-24,-24,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-24,-24,-22,-21,-21,-20,-20,-20,-19,-19,-20,-20,-20,-19,-19,-19,-19,-19,-19,-19
Xinjiang,Mainland China,41.1129,85.2401,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-11,-11,-11,-10,-10,-10,-9,-8,-8,-8,-8,-8,-7,-7,-7
Yunnan,Mainland China,24.974,101.48700000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,4
Zhejiang,Mainland China,29.1832,120.0934,1,1,1,1,1,2,2,2,2,1,0,1,2,3,2,2,2,2,2,1,1,2,2,2,3,3,3,2,2,2,2,2,5,5,6,6,6,6,6,6,6,6,6,6,6,7,8
,Thailand,15.0,101.0,20,20,20,20,20,20,20,19,19,19,18,18,19,19,19,19,19,17,17,17,17,18,19,19,19,19,19,19,18,18,17,17,17,17,16,16,16,16,16,16,16,16,16,16,19,23,23
,Japan,36.0,138.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-6,-8,-8,-8,-9,-9,-9,-9,-9,-8,-8,-8,-8,-8,-8,-6,-6,-6,-4,-3,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
,South Korea,36.0,128.0,-7,-7,-7,-5,-5,-5,-4,-4,-2,-1,-1,-1,-1,-1,-1,-1,-2,-4,-5,-5,-5,-5,-5,-5,-5,-5,-6,-7,-6,-4,-4,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,0
Taiwan,Taiwan,23.7,121.0,2,2,2,2,2,2,3,3,3,3,3,2,2,3,3,5,5,4,4,4,4,4,5,5,5,6,6,6,6,6,6,5,6,6,7,7,8,8,8,8,8,8,8,8,8,8,9
"King County, WA",US,47.6062,-122.3321,2,2,2,3,3,4,4,4,4,5,5,5,5,5,5,6,6,6,6,5,5,5,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2
"Cook County, IL",US,41.7377,-87.6976,-4,-5,-4,-4,-4,-4,-2,-2,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-3,-3,-3,-3,-4,-4,-4,-4,-4,-4,-5,-5,-6,-5,-5,-5,-5,-4,-6,-6,-6,-4,-4,-4,-4,-2,-2,-2
Macau,Macau,22.1667,113.55,15,15,15,15,15,15,15,12,12,12,12,12,12,14,14,14,14,13,12,12,13,14,14,15,15,15,15,15,15,13,13,13,14,15,15,15,15,15,15,15,16,17,17,17,17,17,18
Hong Kong,Hong Kong,22.3,114.2,16,16,16,16,15,15,15,13,13,12,12,13,13,14,14,14,14,13,13,12,13,14,14,15,15,15,15,15,15,14,14,14,15,15,16,16,16,16,16,16,17,17,17,17,17,17,18
,Singapore,1.2833,103.8333,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
,Vietnam,16.0,108.0,16,16,16,16,16,15,15,15,15,15,15,15,14,15,15,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,17,17
,France,47.0,2.0,2,1,1,1,2,2,3,3,3,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4
,Nepal,28.1667,84.25,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,5,7,8,8,8,8,8,9,9,9,9,8,8,8,8,8,8,8,8,8
,Malaysia,2.5,112.5,24,24,24,24,24,24,24,24,24,24,24,24,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
"Toronto, ON",Canada,43.6532,-79.3832,-5,-6,-5,-5,-5,-5,-4,-4,-5,-5,-5,-5,-4,-3,-3,-3,-3,-3,-4,-5,-5,-5,-5,-5,-5,-5,-5,-6,-6,-7,-7,-8,-7,-6,-6,-6,-6,-7,-7,-7,-7,-7,-6,-6,-5,-3,-3
British Columbia,Canada,49.2827,-123.1207,0,0,0,0,1,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,2,2,2
"Los Angeles, CA",US,34.0522,-118.2437,6,6,6,6,6,6,7,7,7,7,7,7,7,7,6,2,1,1,1,1,0,0,0,0,1,4,5,5,5,6,6,6,6,6,6,6,6,6,6,8,8,7,6,6,6,7,8
New South Wales,Australia,-33.8688,151.2093,19,19,19,19,20,20,20,20,20,20,21,21,21,21,21,21,21,20,20,20,20,20,20,20,20,19,19,19,19,19,19,19,19,18,18,18,18,18,17,17,17,17,17,17,17,17,17
Victoria,Australia,-37.8136,144.9631,14,13,12,12,13,13,13,13,13,13,13,13,12,12,12,12,13,13,13,13,14,15,15,16,17,16,16,16,16,16,16,16,16,16,16,16,16,15,13,13,12,11,11,11,13,13,13
Queensland,Australia,-28.0167,153.4,21,21,22,23,22,22,22,23,23,23,23,23,23,22,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,23,23,22,22,22,22,22,22,21,21,22,22
,Cambodia,11.55,104.9167,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,20,20,20,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,22
,Sri Lanka,7.0,81.0,19,19,19,19,19,19,19,19,19,19,19,18,18,18,18,18,18,17,16,15,16,17,18,18,18,19,19,19,18,18,18,18,19,20,20,20,20,19,19,18,18,18,18,18,19,19,19
,Germany,51.0,9.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Finland,64.0,26.0,-1,-2,-2,-2,-2,-2,-2,-2,-5,-5,-6,-6,-7,-7,-8,-8,-9,-9,-9,-8,-8,-7,-7,-5,-4,-3,-3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,-3,-3,-3,-6,-7,-9,-9,-7,-7,-7
,United Arab Emirates,24.0,54.0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,11,11,11,12,11,11,12,12,12,12,12,12,11,11,11,12,13,13,13,13,13,14,14,14,14,14,14,14,14,14
,Philippines,13.0,122.0,24,24,24,24,24,24,24,24,24,24,24,23,23,22,23,23,24,24,24,23,23,22,22,22,23,23,24,24,24,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24
,India,21.0,78.0,14,14,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,12,12,13,13,13,13,13,13,13,12,10,10,10,10,10,12,10,10,10,8,8,8,9,9,9,9,9,9,9
"London, ON",Canada,42.9849,-81.2453,-4,-5,-5,-4,-4,-4,-3,-3,-4,-5,-5,-4,-4,-4,-3,-3,-3,-3,-4,-4,-4,-4,-5,-5,-5,-6,-6,-6,-6,-7,-7,-7,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-6,-6,-5,-3,-3
,Italy,43.0,12.0,1,1,1,1,1,1,1,2,2,3,4,4,4,5,5,5,5,5,4,4,5,4,4,5,4,3,2,2,2,2,2,2,3,3,3,3,3,2,0,2,3,3,3,2,3,3,3
,UK,55.0,-3.0,2,2,3,3,3,3,2,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1
,Russia,60.0,90.0,-18,-19,-19,-18,-15,-14,-12,-11,-12,-14,-19,-21,-24,-21,-21,-17,-12,-12,-12,-17,-20,-20,-20,-17,-16,-16,-15,-14,-14,-12,-12,-12,-12,-14,-14,-14,-14,-12,-11,-11,-11,-10,-10,-9,-11,-11,-12
,Sweden,63.0,16.0,-3,-3,-3,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-3,-3,-3,-3,-3,-2,-2,-3,-3,-3,-3,-4,-4,-4,-3,-3,-4,-3,-3,-4,-4,-5,-6,-6,-6,-6,-6,-7,-9,-9,-9,-9,-9,-9
,Spain,40.0,-4.0,0,0,0,2,2,3,3,3,4,4,4,4,5,6,6,6,6,6,6,7,7,7,7,7,6,5,5,5,5,5,5,5,5,5,4,3,2,2,2,2,2,2,2,2,2,2,2
South Australia,Australia,-34.9285,138.6007,12,12,12,12,12,12,13,12,12,12,13,13,13,12,12,13,13,14,14,14,14,16,16,17,16,16,16,16,16,16,16,15,14,14,14,13,13,13,13,13,12,11,11,12,12,12,12
"San Benito, CA",US,36.5761,-120.9876,1,1,1,1,1,1,2,3,3,4,4,5,5,5,5,5,4,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
,Belgium,50.8333,4.0,4,4,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4
"Madison, WI",US,43.0731,-89.4012,-8,-8,-7,-7,-7,-5,-5,-5,-5,-5,-5,-5,-3,-2,-2,-2,-2,-3,-5,-5,-5,-7,-7,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-7,-8,-8,-8,-7,-5,-5,-3,-3,-3,-3
Diamond Princess cruise ship,Others,35.4437,139.638,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-2,-3,-3,-3,-3,-3,-2,0,-2,-3,-3,1,2,2,2,3,3,3,3,2,2,2,2,3,3,3,2,2
"San Diego County, CA",US,32.7157,-117.1611,8,8,8,8,8,9,10,10,10,10,10,10,10,10,9,8,6,6,6,6,6,6,6,7,7,7,8,8,8,9,9,9,9,9,10,10,10,10,10,10,10,10,8,8,8,8,8
"San Antonio, TX",US,29.4241,-98.4936,13,13,13,11,10,11,11,11,10,10,9,5,4,5,9,9,5,4,4,4,4,4,4,4,4,6,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,6
,Egypt,26.0,30.0,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0
,Iran,32.0,53.0,-3,-3,-4,-5,-6,-6,-6,-6,-6,-6,-7,-8,-8,-9,-9,-9,-9,-9,-9,-9,-9,-9,-10,-12,-12,-12,-12,-10,-9,-9,-8,-7,-7,-7,-5,-5,-4,-4,-4,-4,-4,-4,-5,-5,-7,-7,-8
"Omaha, NE (From Diamond Princess)",US,41.2545,-95.9758,-9,-9,-9,-9,-9,-6,-5,-5,-5,-5,-4,-3,-2,-2,-2,-2,-3,-3,-4,-4,-4,-5,-6,-6,-7,-7,-7,-7,-7,-7,-7,-6,-6,-6,-6,-5,-5,-5,-5,-3,-3,-3,-3,-2,-2,-2,-2
"Travis, CA (From Diamond Princess)",US,38.2721,-121.9399,4,4,4,4,4,4,5,6,6,7,7,7,7,7,7,7,7,7,6,5,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,2,2,2,4,5,5,5
From Diamond Princess,Australia,35.4437,139.638,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-2,-3,-3,-3,-3,-3,-2,0,-2,-3,-3,1,2,2,2,3,3,3,3,2,2,2,2,3,3,3,2,2
"Lackland, TX (From Diamond Princess)",US,29.3829,-98.6134,13,13,13,11,10,11,11,10,10,9,9,4,4,4,9,9,4,4,4,4,4,4,4,4,4,6,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,6
,Lebanon,33.8547,35.8623,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
"Humboldt County, CA",US,40.745,-123.8695,2,2,2,2,3,3,4,4,5,5,6,6,6,6,6,6,6,6,5,5,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,3,4,4
"Sacramento County, CA",US,38.4747,-121.3542,4,5,5,5,5,5,5,7,7,7,8,8,8,8,8,8,8,7,6,4,4,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,5,5,5,3,3,3,4,5,6,6
,Iraq,33.0,44.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,3,3,2,2,0,0,0,0,0,0,0,0,0,6,8,8,8,8,8,8,8,8,7,7,7,7,7
Unassigned Location (From Diamond Princess),US,35.4437,139.638,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-2,-3,-3,-3,-3,-3,-2,0,-2,-3,-3,1,2,2,2,3,3,3,3,2,2,2,2,3,3,3,2,2
,Oman,21.0,57.0,10,10,10,10,9,9,9,9,9,9,9,10,9,9,8,8,8,8,8,8,9,11,11,11,11,11,10,11,11,11,11,11,12,12,12,12,12,12,12,12,12,13,13,13,13,12,12
,Afghanistan,33.0,65.0,-9,-6,-6,-5,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-7,-7,-8,-8,-8,-8,-8,-7,-7,-7,-6,-6,-6,-6,-6,-6,-5,-4,-3,-3,-3,-3,-3,-3,0,0,0,0,0,0,0,0,0
,Bahrain,26.0275,50.55,12,12,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,12,12,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14
,Kuwait,29.5,47.75,5,3,4,4,3,3,4,5,6,6,6,5,4,3,3,3,4,5,5,5,5,3,2,1,1,1,1,2,3,3,3,3,3,9,10,10,10,10,10,10,10,9,9,8,8,7,7
,Algeria,28.0339,1.6596,0,0,0,0,0,-1,-1,-1,-2,-2,-3,-3,-2,-2,-1,-1,-2,-2,-2,-5,-9,-9,-9,-6,-3,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-6,-7,-7,-7,-7,-8,-7,-7
,Croatia,45.1,15.2,-3,-3,-3,-3,-3,-2,-1,-1,-2,-2,-2,0,0,1,1,1,1,1,0,0,1,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,0,0,0
,Switzerland,46.8182,8.2275,-7,-7,-7,-7,-7,-6,-6,-5,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-4,-4,-4,-4,-3,-3,-3,-3,-3,-3,-3,-3,-4,-4,-3,-3,-4,-4
,Austria,47.5162,14.5501,-7,-7,-7,-7,-7,-6,-6,-6,-6,-6,-6,-6,-4,-3,-3,-3,-3,-3,-3,-3,-3,-6,-6,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-4,-3,-3
,Israel,31.0,35.0,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6
,Pakistan,30.3753,69.3451,-4,-4,-4,-2,-2,-2,-3,-3,-3,-3,-3,-3,-2,-3,-3,-4,-4,-5,-5,-5,-5,-5,-4,-4,-4,-4,-6,-8,-8,-8,-8,-5,-2,-2,-3,-3,-3,-3,-3,1,2,3,3,3,3,3,3
,Brazil,-14.235,-51.9253,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,24,23,24,24,24,24,24,24
,Georgia,42.3154,43.3569,-3,-3,-3,-4,-4,-4,-4,-4,-4,-4,-3,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-3,-3,-3,-4,-4,-4,-4,-4,-4,-4,-4,-3,-2,-2,-1,0,0,0,1,1,1,1,1,1,1
,Greece,39.0742,21.8243,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-1,1,1,2,2,2,2,2,2,1,1,1,1,2,2,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1
,North Macedonia,41.6086,21.7453,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-2,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Norway,60.472,8.4689,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-9,-9,-7,-7,-7,-6,-6,-6,-6,-5,-5,-7,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-11,-11,-11
,Romania,45.9432,24.9668,-7,-7,-7,-7,-7,-7,-7,-7,-6,-6,-6,-3,-2,-2,-1,-1,-1,-1,-1,-2,-1,-2,-3,-3,-3,-4,-4,-4,-4,-4,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,0,0,0
,Denmark,56.2639,9.5018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
,Estonia,58.5953,25.0136,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
