Province/State,Country/Region,Lat,Long,1/1/20,1/2/20,1/3/20,1/4/20,1/5/20,1/6/20,1/7/20,1/8/20,1/9/20,1/10/20,1/11/20,1/12/20,1/13/20,1/14/20,1/15/20,1/16/20,1/17/20,1/18/20,1/19/20,1/20/20,1/21/20,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20
,Afghanistan,33.0,65.0,57,91,73,65,88,85,54,39,28,32,74,89,75,55,52,47,51,42,55,70,74,62,61,85,69,62,60,47,38,39,48,53,48,82,52,46,46,36,43,48,83,89,92,68,42,44,38,37,46,50,36,49,52,59,64,56,54,66,75,68,56,43,60,66,73,56,51,47,63,75,51,56,53,40,43,55,62,61,61,77,56,61,91,82,66,64,63,63,64,90
,Albania,41.1533,20.1683,47,43,41,37,52,41,33,28,37,40,59,73,67,67,57,49,48,56,69,57,39,39,37,45,73,76,83,81,83,77,62,74,75,77,76,73,60,53,61,65,76,79,81,62,71,64,55,54,57,69,73,56,51,46,50,54,67,82,80,57,56,73,70,84,76,68,84,84,81,73,64,61,57,63,83,59,48,44,44,47,52,59,84,78,69,62,74,77,75,63
,Algeria,28.0339,1.6596,39,37,30,27,26,23,43,36,33,46,47,57,48,44,43,54,49,38,28,16,15,17,24,20,21,27,25,36,25,13,11,13,25,32,30,24,27,12,10,9,9,9,15,37,19,17,16,17,25,22,19,12,13,15,32,19,11,10,16,11,7,4,8,14,14,7,16,17,16,14,18,20,14,8,5,6,8,13,14,13,21,19,9,16,27,37,18,14,37,30
,Andorra,42.5063,1.5218,27,28,34,46,20,30,30,50,56,59,24,16,18,22,28,51,68,36,47,43,52,76,79,66,75,75,64,69,47,72,72,59,55,47,50,20,20,21,36,60,53,54,62,69,52,44,34,45,49,35,22,25,14,17,18,27,42,51,60,64,69,68,59,56,75,51,51,42,56,55,25,40,70,64,64,82,77,69,54,52,52,71,74,62,71,60,51,66,60,78
,Angola,-11.2027,17.8739,87,92,98,98,88,92,93,96,88,100,97,80,71,86,75,80,87,85,71,79,89,91,87,96,93,91,98,92,97,89,96,91,96,90,89,87,74,83,84,97,91,90,78,74,94,97,87,81,78,94,87,82,95,91,92,84,90,90,84,78,69,70,82,79,80,90,79,87,92,91,96,92,90,95,90,80,87,81,77,76,87,85,79,86,83,99,86,86,93,80
,Antigua and Barbuda,17.0608,-61.7964,91,90,90,88,88,87,86,88,91,89,85,89,87,87,90,87,88,89,92,94,89,90,88,90,95,91,92,86,88,87,89,86,90,88,87,86,92,90,88,86,90,87,88,90,88,92,94,93,92,88,87,86,86,88,82,91,92,93,86,87,89,86,83,87,89,84,86,87,78,81,86,86,89,89,89,90,82,82,88,87,89,92,95,93,95,87,88,89,92,87
,Argentina,-38.4161,-63.6167,74,67,47,45,51,59,37,21,39,19,24,21,30,52,43,10,15,20,32,28,42,50,43,40,34,22,26,35,31,42,28,24,36,28,51,85,55,84,66,67,57,41,33,38,76,47,17,20,51,37,20,31,52,48,38,34,34,36,23,38,41,36,24,27,25,32,49,38,17,41,45,75,64,63,24,51,46,77,77,49,45,39,54,42,48,56,64,67,64,73
,Armenia,40.0691,45.0382,80,82,90,87,81,69,69,68,81,78,70,71,76,55,50,73,79,54,85,82,68,66,74,75,56,64,64,64,71,80,81,93,76,75,87,88,83,86,94,78,73,67,77,88,75,56,74,89,87,86,96,92,85,92,91,87,44,48,53,82,91,89,78,51,42,43,71,79,53,32,56,72,70,98,92,96,99,96,93,89,90,85,65,81,87,81,80,86,98,89
Australian Capital Territory,Australia,-35.4735,149.0124,54,56,56,37,64,81,67,75,74,60,64,70,65,70,72,75,85,75,76,79,68,59,40,47,63,51,61,55,63,53,33,36,51,43,45,67,77,78,83,93,92,86,82,93,87,86,90,92,82,68,70,79,81,74,73,72,60,56,50,70,60,44,81,98,100,89,82,87,85,81,80,77,76,76,66,76,77,68,65,55,72,65,68,81,74,73,82,80,85,87
New South Wales,Australia,-33.8688,151.2093,79,80,89,67,75,84,89,90,92,86,82,84,78,85,84,89,99,98,95,93,72,83,53,77,93,90,93,90,85,83,87,75,88,80,70,73,85,100,99,100,96,91,99,98,84,87,89,95,87,61,70,77,87,75,81,81,71,75,67,73,84,64,83,92,95,92,84,80,83,76,74,72,74,90,82,86,79,78,71,60,78,79,79,82,89,85,74,84,92,87
Northern Territory,Australia,-12.4634,130.8456,82,82,78,77,80,84,80,79,91,99,96,89,88,85,83,83,83,83,85,88,90,93,91,89,88,83,84,88,85,84,80,80,82,82,82,84,80,79,79,85,83,86,83,85,84,85,87,87,87,86,86,85,85,85,82,82,87,94,92,90,88,87,86,85,82,81,91,94,95,85,83,79,80,82,82,75,76,83,78,78,78,79,78,88,88,83,80,81,80,77
Queensland,Australia,-28.0167,153.4,82,83,78,77,79,83,83,78,79,83,86,94,76,91,90,90,89,99,95,91,85,88,93,93,96,88,84,89,87,84,79,80,82,81,95,88,100,97,98,97,92,95,99,100,90,91,89,86,87,88,83,85,78,82,92,92,93,91,88,85,80,81,84,91,81,91,88,80,95,91,75,81,78,76,79,72,74,73,73,77,82,85,89,80,78,76,89,85,88,83
South Australia,Australia,-34.9285,138.6007,61,56,21,69,75,57,51,38,28,76,63,63,44,46,69,65,61,69,79,83,66,56,71,71,77,80,74,62,34,14,61,93,73,70,54,62,62,64,64,59,64,73,84,83,87,80,76,64,75,63,71,68,61,49,48,67,72,68,76,74,61,71,66,69,78,79,69,66,60,54,54,45,72,62,62,52,33,28,41,74,75,73,56,56,70,65,59,36,54,67
Tasmania,Australia,-41.4545,145.9707,79,73,70,77,59,69,74,59,80,99,85,74,79,80,89,82,70,78,87,98,83,91,100,91,98,87,82,94,83,47,48,83,90,82,78,78,85,84,84,83,89,100,93,89,100,95,75,75,94,80,81,81,83,84,81,78,90,96,84,86,98,85,78,93,100,83,80,86,85,87,85,89,99,84,87,95,92,94,89,98,90,86,84,83,91,90,95,94,100,99
Victoria,Australia,-37.8136,144.9631,57,60,56,44,70,87,84,72,70,61,72,70,59,60,56,79,68,71,78,90,74,52,78,59,61,78,72,70,65,31,27,84,69,62,56,69,76,84,72,64,79,86,86,74,81,95,79,73,91,82,74,73,68,73,81,75,69,61,73,74,64,68,66,78,96,82,74,74,72,73,65,49,54,60,68,64,56,45,50,64,70,73,63,69,67,72,69,55,56,70
Western Australia,Australia,-31.9505,115.8605,60,71,56,38,34,44,54,66,59,38,34,51,53,55,61,63,70,55,53,56,75,71,72,56,63,59,46,56,77,70,57,51,39,37,28,47,79,80,79,52,40,46,67,57,50,86,71,53,45,47,45,39,66,66,72,71,77,72,71,84,67,50,44,36,47,83,80,74,55,41,48,59,53,63,83,75,79,65,61,52,64,59,49,39,40,50,72,71,68,68
,Austria,47.5162,14.5501,56,46,57,82,79,50,65,61,65,73,83,51,38,37,38,67,74,80,80,74,41,41,53,48,59,81,77,80,67,65,87,81,83,90,81,77,62,56,62,57,75,73,64,66,82,74,53,64,71,76,70,59,45,69,84,71,81,62,72,62,81,74,83,74,65,88,79,68,74,78,91,76,82,75,57,47,67,77,71,72,92,66,54,57,56,66,70,64,84,78
,Azerbaijan,40.1431,47.5769,72,69,84,85,68,71,78,69,77,77,83,70,69,57,77,80,78,67,85,79,71,60,46,36,52,43,54,52,51,43,48,80,63,53,36,44,41,34,56,52,49,57,43,43,42,65,51,68,62,56,68,75,84,73,76,45,52,51,43,45,62,81,72,74,72,73,63,65,68,71,68,56,61,61,72,79,78,74,78,81,87,80,68,64,62,56,62,71,57,62
,Bahamas,25.0343,-77.3963,98,89,87,92,95,77,71,72,71,79,95,97,92,93,83,78,79,86,76,80,89,79,83,81,88,86,80,82,88,90,92,85,96,72,68,77,87,97,96,98,96,94,97,96,92,93,92,89,88,92,93,91,93,84,71,79,88,98,89,75,64,65,73,88,97,99,96,71,68,75,79,86,89,95,94,86,87,89,87,87,87,85,87,87,86,91,92,84,85,90
,Bahrain,26.0275,50.55,77,71,81,68,94,71,73,73,80,94,69,61,52,55,72,75,76,80,72,82,76,73,80,66,62,64,66,72,70,64,74,74,70,67,68,78,77,63,65,84,70,67,64,70,74,76,80,80,73,66,74,82,81,84,80,74,70,69,74,75,72,75,66,65,71,70,64,69,75,75,82,71,64,65,64,79,79,78,89,82,88,83,56,61,63,72,67,66,82,69
,Bangladesh,23.685,90.3563,66,73,84,82,83,66,66,72,80,76,77,77,72,74,74,70,70,70,69,68,64,65,66,59,61,64,66,66,70,80,72,56,53,48,53,50,54,49,42,47,47,53,51,51,56,66,65,62,59,57,57,59,54,54,61,77,77,70,57,54,53,56,59,63,66,71,73,70,59,47,43,51,55,53,59,55,47,47,43,45,47,67,63,56,56,52,48,47,39,28
,Barbados,13.1939,-59.5432,90,91,87,89,91,93,95,88,90,94,87,96,90,91,93,89,91,92,95,88,94,92,98,98,96,95,93,86,96,95,93,95,93,90,91,87,91,89,85,87,89,91,94,93,89,85,86,88,93,99,94,86,87,88,96,93,91,90,89,88,86,90,87,92,83,82,84,88,83,90,87,87,92,92,100,93,88,87,88,90,95,94,92,87,86,89,88,91,91,90
,Belarus,53.7098,27.9534,82,89,79,87,83,76,89,83,91,94,89,84,88,90,79,80,86,80,82,83,84,86,73,81,83,83,83,86,91,88,93,94,88,80,77,59,73,54,78,81,78,88,88,87,85,82,77,68,75,75,82,78,73,70,76,83,82,86,74,75,79,87,87,85,88,86,89,84,81,83,84,76,67,72,56,52,77,74,71,64,79,60,55,56,52,50,46,50,54,60
