Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,1/1/20,1/2/20,1/3/20,1/4/20,1/5/20,1/6/20,1/7/20,1/8/20,1/9/20,1/10/20,1/11/20,1/12/20,1/13/20,1/14/20,1/15/20,1/16/20,1/17/20,1/18/20,1/19/20,1/20/20,1/21/20
,Thailand,15.0,101.0,5,7,11,13,16,5,6,9,5,7,7,5,3,15,8,12,18,3,5,9,9,5,13,11,5,5,2,7,5,3,5,5,6,2,6,4,2,4,20,26,53,44,70,76,88,32,5,6,3,7,5,6,0,9,7,2,5,2,3,3,10,13,10,8,3,6,6,6,3,6,5
,Japan,36.0,138.0,3,86,10,4,13,46,68,72,28,12,6,1,4,5,28,8,3,15,16,15,2,6,91,4,3,92,92,28,2,5,5,90,10,1,80,86,28,3,47,18,10,3,54,44,2,2,57,5,94,75,6,8,0,37,30,1,82,90,24,16,4,23,20,14,63,8,12,17,3,4,10
,Singapore,1.2833,103.8333,36,33,8,12,20,56,82,96,56,14,28,59,9,14,20,28,33,11,94,99,87,88,43,14,23,37,26,85,56,31,71,30,54,89,31,15,11,15,2,9,6,19,35,97,57,72,26,24,23,45,30,46,52,43,35,79,76,59,70,92,73,54,24,7,57,71,28,67,61,83,86
,Nepal,28.1667,84.25,2,16,19,12,40,25,6,14,14,6,45,12,6,17,15,18,18,23,5,5,4,6,9,5,9,16,27,15,19,28,32,20,24,48,77,81,10,3,5,22,17,24,31,15,37,78,4,8,19,11,5,22,78,47,24,2,8,37,44,8,7,5,5,3,2,76,96,9,9,3,2
,Malaysia,2.5,112.5,43,57,81,76,88,85,60,77,93,13,15,32,70,95,91,50,23,16,95,100,82,35,65,72,97,92,98,75,94,65,70,65,56,42,69,97,81,90,78,84,69,96,96,100,54,63,16,80,56,72,93,99,90,90,84,98,94,80,86,96,98,99,86,97,91,94,95,88,97,95,67
British Columbia,Canada,49.2827,-123.1207,97,97,100,99,90,99,95,87,97,91,99,95,74,57,95,95,83,94,81,17,15,53,28,89,67,95,55,34,25,10,17,45,92,96,31,53,64,77,94,78,54,95,85,47,94,42,74,42,19,93,100,82,85,99,90,96,98,99,41,48,96,92,91,31,37,76,70,67,99,99,97
New South Wales,Australia,-33.8688,151.2093,3,8,51,59,49,49,34,37,7,6,8,61,41,20,15,88,100,100,100,96,45,93,96,27,35,39,62,39,32,9,27,71,21,10,12,17,11,4,9,7,4,37,94,99,69,72,61,74,35,16,14,13,18,10,11,50,72,51,41,8,32,41,30,27,4,86,99,98,76,73,12
Victoria,Australia,-37.8136,144.9631,49,97,3,5,7,4,4,6,5,28,93,56,23,6,5,37,40,4,21,71,23,21,10,70,55,19,4,93,95,24,27,6,16,62,46,52,5,24,2,10,65,5,80,100,25,7,5,4,3,5,2,6,0,6,41,84,19,4,5,77,12,12,6,1,53,33,10,23,71,100,63
Queensland,Australia,-28.0167,153.4,5,36,45,66,36,32,26,9,11,8,11,6,35,80,85,100,99,99,100,87,92,99,100,56,56,23,18,17,26,20,35,41,42,96,89,62,81,37,30,5,3,21,63,39,93,44,39,98,99,27,9,14,0,8,7,8,26,2,7,6,57,87,42,96,93,89,92,100,93,74,18
,Cambodia,11.55,104.9167,2,5,4,5,18,5,5,15,69,26,9,6,3,8,7,5,2,2,17,22,7,4,7,5,5,7,34,24,5,4,8,5,10,3,6,4,2,5,3,6,4,6,4,5,17,5,10,20,6,14,6,6,0,8,7,2,8,5,4,4,22,9,9,0,1,5,5,9,0,5,5
