Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20
Anhui,Mainland China,31.8257,117.2264,1026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beijing,Mainland China,40.1824,116.4142,1027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chongqing,Mainland China,30.0572,107.874,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fujian,Mainland China,26.0789,117.9874,1021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gansu,Mainland China,36.0611,103.8343,1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guangdong,Mainland China,23.3417,113.4244,1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guangxi,Mainland China,23.8298,108.7881,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guizhou,Mainland China,26.8154,106.8748,1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hainan,Mainland China,19.1959,109.7453,1015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hebei,Mainland China,38.0428,114.5149,1027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heilongjiang,Mainland China,47.861999999999995,127.7615,1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Henan,Mainland China,33.882020000000004,113.61399999999999,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1025,1025,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1024,1026,1028,1028,1028,1028,1028,1028,1028,1028,1023,1023,1028,1028,1028,1028,1028,1026,1025,1025,1025,1024,1023,1022
Hubei,Mainland China,30.9756,112.2707,1026,1025,1026,1026,1026,1026,1026,1026,1026,1026,1025,1025,1025,1025,1025,1025,1026,1026,1026,1025,1025,1025,1025,1024,1025,1025,1026,1027,1027,1027,1029,1029,1027,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1023,1023,1022,1022
Hunan,Mainland China,27.6104,111.7088,1025,1024,1025,1025,1025,1025,1026,1026,1026,1026,1026,1025,1025,1025,1025,1025,1026,1026,1026,1026,1025,1025,1024,1023,1023,1025,1025,1025,1025,1026,1026,1026,1026,1025,1025,1025,1025,1025,1025,1024,1022,1022,1022,1022,1021,1021,1020
Inner Mongolia,Mainland China,44.0935,113.9448,1032,1032,1032,1032,1032,1032,1031,1031,1029,1028,1028,1029,1030,1033,1034,1034,1034,1033,1033,1033,1033,1033,1030,1033,1033,1033,1033,1033,1033,1030,1029,1029,1029,1029,1029,1029,1029,1029,1029,1028,1027,1027,1027,1027,1022,1021,1021
Jiangsu,Mainland China,32.9711,119.455,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1028,1028,1028,1028,1028,1028,1027,1027,1027,1027,1027,1027,1027,1027,1027,1027,1027,1027,1027,1025,1022
Jiangxi,Mainland China,27.614,115.7221,1024,1023,1023,1024,1024,1023,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1026,1027,1027,1026,1025,1025,1025,1025,1025,1025,1025,1022,1022,1022,1022,1021,1019,1019
Jilin,Mainland China,43.6661,126.1923,1024,1025,1025,1026,1028,1028,1028,1028,1027,1026,1026,1027,1027,1027,1028,1028,1029,1029,1028,1027,1027,1027,1027,1027,1028,1028,1027,1025,1025,1025,1024,1024,1023,1024,1024,1024,1025,1025,1024,1024,1024,1025,1024,1024,1023,1023,1023
Liaoning,Mainland China,41.2956,122.6085,1026,1026,1026,1027,1028,1028,1028,1026,1026,1026,1026,1026,1026,1028,1029,1029,1029,1029,1029,1028,1028,1028,1028,1028,1028,1028,1026,1026,1026,1026,1025,1025,1024,1024,1024,1025,1025,1025,1025,1024,1025,1024,1024,1024,1024,1023,1022
Ningxia,Mainland China,37.2692,106.1655,1028,1028,1028,1028,1028,1028,1028,1029,1029,1027,1026,1026,1026,1026,1026,1026,1026,1026,1026,1025,1025,1024,1024,1024,1024,1024,1024,1028,1028,1029,1029,1029,1029,1028,1028,1028,1028,1028,1022,1022,1022,1022,1021,1020,1019,1019,1019
Qinghai,Mainland China,35.7452,95.9956,1020,1021,1022,1022,1022,1022,1023,1023,1023,1023,1023,1024,1025,1027,1027,1027,1027,1027,1027,1027,1028,1027,1027,1027,1027,1027,1027,1026,1026,1026,1027,1028,1026,1026,1026,1024,1023,1023,1023,1022,1020,1020,1020,1020,1019,1019,1019
Shaanxi,Mainland China,35.1917,108.8701,1027,1026,1027,1027,1027,1028,1027,1028,1028,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1024,1024,1026,1026,1026,1028,1028,1028,1030,1030,1028,1026,1026,1026,1026,1026,1024,1024,1024,1024,1023,1023,1021,1020,1019
Shandong,Mainland China,36.3427,118.1498,1026,1026,1026,1027,1027,1027,1027,1027,1026,1025,1025,1026,1027,1027,1027,1027,1027,1027,1027,1027,1027,1027,1027,1027,1027,1027,1028,1028,1028,1028,1028,1028,1026,1025,1025,1028,1028,1028,1028,1028,1026,1025,1025,1026,1024,1024,1024
Shanghai,Mainland China,31.201999999999998,121.4491,1026,1025,1025,1026,1026,1026,1026,1025,1025,1025,1025,1025,1025,1025,1025,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1027,1027,1028,1028,1028,1028,1028,1027,1027,1027,1027,1027,1027,1027,1027,1026,1026,1026,1025,1025,1020
Shanxi,Mainland China,37.5777,112.2922,1028,1028,1028,1028,1028,1028,1028,1028,1028,1028,1027,1027,1028,1027,1028,1028,1028,1028,1028,1028,1028,1028,1027,1027,1028,1029,1029,1029,1029,1029,1029,1029,1028,1024,1024,1026,1027,1027,1027,1026,1026,1026,1026,1026,1022,1021,1021
Sichuan,Mainland China,30.6171,102.7103,1016,1017,1017,1017,1017,1018,1019,1019,1019,1019,1019,1020,1020,1020,1020,1020,1021,1021,1021,1020,1020,1020,1019,1018,1019,1020,1020,1020,1021,1021,1023,1023,1021,1021,1021,1021,1021,1021,1021,1019,1016,1016,1016,1016,1016,1015,1015
Tianjin,Mainland China,39.3054,117.323,1027,1027,1027,1027,1028,1028,1028,1027,1026,1026,1026,1026,1027,1028,1028,1028,1029,1029,1028,1028,1028,1028,1028,1028,1028,1028,1028,1028,1026,1026,1026,1026,1025,1025,1025,1026,1027,1027,1027,1026,1025,1025,1025,1024,1024,1024,1023
Tibet,Mainland China,31.6927,88.0924,1015,1016,1016,1016,1016,1016,1017,1018,1018,1018,1018,1019,1020,1020,1020,1020,1020,1020,1020,1021,1022,1025,1025,1025,1025,1025,1022,1022,1021,1022,1022,1023,1023,1022,1022,1020,1020,1022,1022,1022,1022,1022,1022,1022,1019,1018,1018
Xinjiang,Mainland China,41.1129,85.2401,1029,1029,1029,1029,1028,1028,1029,1029,1030,1029,1029,1029,1029,1029,1029,1029,1029,1029,1029,1029,1029,1027,1026,1026,1026,1026,1026,1027,1027,1033,1033,1031,1027,1027,1027,1027,1027,1027,1026,1025,1025,1024,1024,1021,1021,1019,1019
Yunnan,Mainland China,24.974,101.48700000000001,1014,1013,1013,1013,1014,1013,1013,1014,1014,1014,1014,1014,1014,1014,1014,1013,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1015,1016,1017,1017,1016,1016,1016,1016,1016,1016,1016,1015,1014,1014,1013,1013,1013,1012
Zhejiang,Mainland China,29.1832,120.0934,1025,1024,1025,1025,1025,1025,1025,1025,1024,1025,1025,1025,1025,1025,1025,1025,1025,1026,1026,1026,1026,1026,1026,1026,1026,1026,1027,1028,1028,1028,1028,1028,1028,1027,1027,1027,1027,1027,1027,1027,1025,1025,1025,1025,1023,1023,1020
