Province/State,Country/Region,Lat,Long,1/1/2020,1/2/2020,1/3/2020,1/4/2020,1/5/2020,1/6/2020,1/7/2020,1/8/2020,1/9/2020,1/10/2020,1/11/2020,1/12/2020,1/13/2020,1/14/2020,1/15/2020,1/16/2020,1/17/2020,1/18/2020,1/19/2020,1/20/2020,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020
Anhui,Mainland China,31.8257,117.2264,6,9,8,9,11,9,5,6,4,5,5,8,9,7,2,4,6,7,11,12,7,8,9,7,7,3,6,9,11,10,12,13,14,13,15,12,4,6,10,14,15,15,17,19,17,3,7,11,13,15,18,16,18,19,24,19,14,14,10,12,12,12,14,15,15,15,19,15,11,15
Beijing,Mainland China,40.1824,116.4142,-1,2,5,7,3,4,4,4,2,5,0,2,1,0,1,2,3,3,5,4,4,6,8,3,4,4,5,8,9,7,10,5,5,4,1,-2,0,4,6,10,12,12,14,13,5,1,4,10,11,11,8,11,10,11,12,11,11,9,12,7,11,11,8,9,12,13,17,9,13,13
Chongqing,Mainland China,30.0572,107.874,13,13,15,12,12,11,14,10,12,11,12,14,12,11,11,11,14,11,12,14,14,15,11,10,10,12,13,13,14,16,13,11,10,12,15,13,11,14,15,17,13,17,19,20,17,7,11,14,14,15,13,14,15,16,14,15,19,22,15,19,21,12,12,14,16,15,19,17,13,18
Fujian,Mainland China,26.0789,117.9874,15,19,18,20,20,22,23,18,20,19,14,11,16,16,15,14,10,12,10,15,16,22,23,21,16,10,7,8,9,9,13,14,12,8,10,12,11,13,13,14,18,19,18,18,16,20,4,9,12,15,19,22,21,21,24,25,25,23,24,23,20,17,19,13,13,19,20,20,18,15
Gansu,Mainland China,36.0611,103.8343,5,3,7,6,5,2,5,5,2,1,7,3,2,4,0,2,3,2,2,3,6,6,2,3,4,4,5,6,7,7,7,5,6,9,8,6,8,8,8,11,13,14,16,8,-1,1,5,7,7,10,6,6,13,14,15,15,15,10,18,12,11,11,13,16,14,15,19,8,7,13
Guangdong,Mainland China,23.3417,113.4244,23,22,25,26,24,25,27,26,22,24,21,19,21,20,23,20,19,14,14,19,21,24,26,25,19,14,14,16,17,19,20,19,21,16,16,18,20,18,19,18,20,17,24,22,22,22,11,16,19,21,22,25,26,26,25,26,29,27,25,27,27,25,25,17,21,22,24,25,26,23
Guangxi,Mainland China,23.8298,108.7881,21,22,23,23,25,26,26,25,23,22,10,17,15,10,12,10,10,10,11,12,17,22,23,16,9,13,12,13,16,18,19,14,14,10,13,12,17,13,10,13,16,19,22,22,23,22,13,15,18,19,18,19,23,24,25,25,26,27,24,25,24,20,16,11,15,20,25,27,26,20
Guizhou,Mainland China,26.8154,106.8748,16,13,7,11,17,16,14,16,7,4,8,13,7,3,3,4,5,4,7,7,16,15,8,4,1,5,4,5,8,10,8,9,6,5,9,8,8,5,5,8,10,12,16,18,19,6,4,8,10,15,12,9,11,15,20,19,19,20,14,17,12,11,7,9,12,16,16,22,15,11
Hainan,Mainland China,19.1959,109.7453,20,21,22,21,22,25,26,24,24,25,23,17,23,23,23,26,22,23,21,22,24,26,27,26,26,12,12,12,14,17,19,20,23,24,23,22,25,24,19,17,18,23,26,25,26,29,14,13,16,21,21,21,22,23,25,27,26,25,23,26,28,27,27,25,18,24,30,32,33,24
Hebei,Mainland China,38.0428,114.5149,1,3,7,8,0,5,3,6,3,4,0,0,2,1,0,1,2,7,7,4,4,6,7,5,7,6,8,9,9,9,12,7,9,8,5,2,2,7,10,17,16,15,17,16,7,4,8,13,14,13,9,14,14,19,9,13,11,8,13,10,13,16,11,9,15,18,18,15,14,16
