Province/State,Country/Region,Lat,Long,1/1/20,1/2/20,1/3/20,1/4/20,1/5/20,1/6/20,1/7/20,1/8/20,1/9/20,1/10/20,1/11/20,1/12/20,1/13/20,1/14/20,1/15/20,1/16/20,1/17/20,1/18/20,1/19/20,1/20/20,1/21/20,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20
,Afghanistan,33.93911,67.709953,-8,-6,-7,-8,-5,-6,-10,-11,-6,-6,-5,-6,-10,-10,-9,-8,-8,-8,-5,-7,-8,-9,-6,-4,-6,-7,-7,-9,-8,-6,-9,-5,-6,-6,-9,-6,-9,-3,0,-2,-1,-2,-1,-7,-2,-3,-2,-1,0,-7,-2,0,0,0,0,-1,2,1,-2,-1,0,0,0,-2,-2,-3,-5,-5,-4,-3,-3,-3,-2,-2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,-1,1,4,3,3,1,3,2,2,3,2,3,1,2,2,2,3,2,1,3,3,5,4,5,6,8,8,7,7,6,7,8,6,8,8,8,7,8,8,8,9,9,6,7,6,5,5,8,8,8,7,8,8,10,10,9,7,7,9,9,9,9,9,11,13,13,15,12,13,12,12,12,11,12,14,13,14,13,12,11,13,15,14,13,13,13,12,12,14,13,17,16,16,14,12,12,14,16,17,16,16,14,14,16,17,14,15,19,19,17,16,19,20,21,20,21,21,22,20,22,22,22,21,20,20,20,21,21,20,21,22,23,23
,Albania,41.1533,20.1683,10,8,11,10,9,6,7,9,11,11,10,7,14,13,13,13,12,12,11,11,12,11,13,13,12,12,10,11,10,11,12,16,15,15,16,6,5,7,9,10,10,14,14,16,9,15,16,15,15,15,12,13,12,15,17,19,17,7,8,10,13,17,17,10,12,12,11,12,11,13,16,22,22,20,12,14,17,21,19,21,19,19,6,6,11,14,12,14,16,19,16,6,11,14,15,16,17,20,22,23,24,24,23,18,17,22,22,23,24,22,19,12,14,19,21,21,23,23,20,19,20,15,19,21,23,18,22,25,24,23,28,25,29,33,31,34,32,33,32,27,20,26,27,26,25,18,21,20,20,20,17,19,21,22,25,24,22,26,24,27,24,21,23,25,27,25,22,22,25,28,28,24,25,25,28,29,31,30,31,32,34,34,34,35,32,32,31,31,31,33,34,32,32,31,29,30,29,30,27,27,30,33,34,34,34,32,31,33,36,37,37,36,35,35,35,35,29,26,28,30,33,32,32,32
,Algeria,28.0339,1.6596,16,17,19,20,21,19,17,19,18,17,17,15,17,17,17,17,19,21,22,22,24,25,25,25,24,27,23,21,21,24,25,26,24,24,26,27,22,22,24,24,27,28,26,26,27,26,27,26,25,24,25,27,26,24,25,26,27,27,28,29,30,30,28,29,30,32,24,22,23,25,24,26,29,31,32,29,30,31,30,25,27,28,30,24,25,24,28,29,26,26,30,31,32,28,28,29,30,31,32,32,34,36,37,31,26,32,34,36,20,25,31,31,32,35,32,32,33,35,34,34,34,34,36,39,41,41,41,40,37,39,38,39,36,34,34,32,32,32,32,33,36,34,32,34,37,37,37,37,36,37,40,41,40,41,40,39,39,39,37,39,39,40,40,39,40,40,39,41,43,43,41,41,39,39,40,41,42,43,43,43,44,44,45,45,44,44,43,41,40,42,41,42,41,42,43,43,44,44,43,43,41,41,42,42,43,42,40,41,42,42,41,41,42,43,43,43,42,42,41,40,38,38,41,41
,Andorra,42.5063,1.5218,14,15,11,10,13,14,13,12,11,6,10,12,10,11,11,9,7,7,2,5,9,6,7,8,7,8,8,10,11,13,13,14,17,16,10,11,11,12,12,11,17,14,11,13,16,16,16,15,12,14,16,17,19,21,20,14,8,12,15,13,10,6,6,12,10,4,6,14,8,17,22,19,15,16,16,6,14,15,16,15,14,11,11,13,7,6,10,11,12,5,9,10,9,14,16,15,15,11,14,15,16,16,14,16,15,18,18,19,17,13,10,14,15,16,15,15,11,14,16,15,17,21,24,26,23,23,24,23,23,13,12,17,16,14,15,14,19,21,22,25,27,26,24,23,21,25,23,23,23,21,23,19,21,18,12,20,19,11,16,15,17,14,17,17,18,20,14,17,18,20,22,26,28,28,27,24,26,26,25,27,27,27,23,23,28,28,29,29,29,27,25,23,24,21,20,22,26,26,30,27,28,30,28,25,25,28,30,33,31,31,32,33,31,28,25,26,30,32,32,29,28,29,28,24
,Angola,-11.2027,17.8739,28,27,23,23,26,26,23,22,26,21,20,28,30,27,30,30,29,26,29,29,26,26,29,24,25,25,22,27,22,27,25,25,24,25,25,28,30,27,28,24,28,25,32,32,26,24,25,30,31,25,29,32,25,26,26,30,27,27,29,29,31,31,29,30,29,28,31,28,26,27,25,28,27,24,28,29,27,29,30,30,28,28,30,29,30,22,27,29,24,30,30,31,24,24,25,27,28,29,28,30,25,27,29,28,29,30,27,25,26,28,28,28,29,29,29,30,30,30,31,31,31,31,31,31,30,30,29,30,30,30,30,31,31,30,29,30,31,31,30,30,30,30,30,30,30,31,32,31,29,30,30,30,29,30,30,30,29,29,29,29,29,30,29,27,28,27,28,27,27,27,28,28,27,29,30,29,29,30,30,30,29,30,30,29,28,29,29,28,30,31,32,32,31,31,31,30,29,27,26,27,27,29,30,29,28,30,29,29,29,30,30,30,31,31,31,31,31,32,32,33,32,33,33,33
,Antigua and Barbuda,17.0608,-61.7964,28,28,28,28,27,27,27,28,28,28,27,27,27,27,27,27,27,27,26,26,27,27,27,28,27,27,27,28,28,28,28,28,28,28,28,27,27,27,28,27,27,27,27,27,27,27,27,27,27,27,27,26,27,28,28,27,27,27,27,27,27,27,27,27,27,27,27,27,28,27,27,27,27,28,27,26,27,27,28,28,27,27,26,27,27,27,27,28,28,27,27,27,28,28,28,28,29,29,29,29,29,29,29,28,28,28,28,28,28,28,28,29,28,29,29,29,29,28,28,28,29,28,29,29,29,29,29,29,29,29,28,29,29,28,28,29,29,29,29,29,29,29,30,29,29,29,29,30,30,30,29,29,29,30,29,29,29,29,29,29,29,29,29,30,29,29,30,29,29,30,30,30,30,30,30,30,30,30,30,30,29,30,30,30,30,30,30,30,30,30,30,30,29,30,30,30,29,30,29,30,30,30,30,29,30,30,30,30,30,30,29,30,30,30,30,30,30,30,30,30,30,30,30,30
,Argentina,-38.4161,-63.6167,29,29,32,35,31,31,26,32,30,29,28,34,34,26,36,24,27,32,36,39,35,33,36,37,32,32,30,31,34,28,34,35,39,34,35,25,29,25,28,27,27,30,32,35,26,31,35,33,26,30,26,24,25,29,32,27,27,33,34,34,34,38,37,37,36,34,35,33,30,30,30,30,32,33,26,27,29,25,23,27,32,34,33,34,31,27,27,30,31,25,20,22,24,23,24,23,25,19,21,24,25,26,24,22,22,23,26,29,29,26,22,20,22,23,24,23,22,17,17,18,21,18,20,18,21,15,16,21,22,22,21,18,18,14,19,26,27,21,23,21,15,14,13,16,23,18,20,21,16,11,7,11,12,17,13,15,18,16,17,17,16,19,20,15,12,15,16,15,10,17,19,15,15,15,15,11,10,7,8,10,12,9,9,13,9,11,9,7,11,12,12,12,15,12,10,11,14,17,17,21,19,11,11,7,7,9,14,16,9,12,13,15,16,20,18,21,17,18,13,17,18,17,12,14
,Armenia,40.0691,45.0382,-3,-4,-5,-3,-4,-4,-3,-3,-4,-5,-5,-3,-5,-2,-2,-5,-6,-4,-5,-4,-4,-5,-5,-11,-8,-4,-4,-2,-3,-4,-2,-7,-6,-3,-4,-2,0,-1,-4,-14,-13,-12,-9,-7,-9,-4,-3,-6,-1,0,0,-1,0,0,0,-1,-2,2,2,2,0,0,1,4,5,5,3,4,4,5,5,4,5,1,3,0,1,2,0,1,0,0,2,3,3,4,4,5,1,1,2,2,1,4,0,5,4,0,0,3,1,0,2,3,5,4,6,10,7,8,6,7,4,0,2,3,5,6,6,8,10,5,7,9,9,8,4,8,9,3,5,9,12,10,14,15,13,13,13,13,16,16,14,10,9,15,17,18,19,17,17,17,18,15,17,15,13,16,17,18,17,18,16,19,17,17,18,17,17,16,16,14,16,17,21,19,17,13,13,16,15,14,15,17,17,17,18,20,22,19,16,16,16,16,17,18,18,20,21,24,26,24,18,18,19,22,23,23,23,20,17,17,19,20,17,17,17,16,17,17,19,21,21,18
Australian Capital Territory,Australia,-35.4735,149.0124,33,32,34,40,26,23,32,30,27,34,27,24,28,30,29,28,23,25,28,23,26,29,28,27,29,30,32,31,32,34,38,38,31,27,24,28,24,22,20,15,25,26,27,23,26,26,24,23,28,20,23,24,22,25,28,27,26,25,25,26,28,28,21,17,17,23,21,17,19,20,22,23,24,16,19,20,22,25,27,26,22,24,20,19,24,20,20,20,22,23,23,23,17,18,15,13,19,16,15,18,18,14,17,22,23,20,19,19,17,17,17,19,18,19,19,16,17,19,15,8,6,10,15,14,17,17,16,17,15,12,13,14,15,12,14,15,15,15,15,12,13,10,13,12,13,14,14,15,14,14,13,9,13,13,13,14,13,12,13,12,14,14,12,14,11,13,14,13,13,13,13,10,10,10,14,12,11,11,12,11,13,15,13,11,12,12,13,13,12,14,14,11,10,11,11,12,12,14,14,13,12,14,14,12,14,13,11,9,14,16,15,14,15,15,15,12,10,12,6,9,9,12,13,11
New South Wales,Australia,-33.8688,151.2093,23,25,28,37,25,23,28,26,25,29,22,21,25,26,27,29,22,22,24,28,29,29,39,28,28,32,28,29,26,28,30,34,28,31,22,25,25,21,22,22,26,28,25,25,25,26,25,25,29,28,23,24,23,25,26,28,32,24,25,26,28,34,23,25,25,26,23,22,22,23,24,24,24,18,20,21,22,25,29,33,24,27,21,22,24,21,23,24,24,26,25,23,25,25,25,23,23,21,20,22,20,25,20,24,26,28,26,23,20,23,23,24,23,26,25,26,21,23,26,22,16,18,18,18,19,22,23,25,25,17,18,19,20,17,16,18,19,19,21,23,17,16,17,17,15,18,18,20,17,19,21,21,16,17,16,18,18,16,16,18,17,18,17,18,19,20,20,17,17,18,19,18,16,16,18,18,17,15,15,16,17,20,21,17,15,17,17,17,16,17,18,17,17,15,15,15,16,16,18,19,18,16,18,18,18,17,16,17,17,18,17,16,19,18,20,21,17,15,15,17,15,15,17,19
